1779415787.1767786, 398.91130604
1779415787.1767786, 398.91130604
1779415787.2495406, 398.91130671
1779415787.311092, 398.91130907
1779415787.311092, 398.91130907
1779415787.3764858, 398.91130806
1779415787.4387734, 398.91130618
1779415787.5045989, 398.91130631
1779415787.5045989, 398.91130631
1779415787.5696814, 398.91130806
1779415787.630789, 398.91130714
1779415787.6966712, 398.9113059
1779415787.6966712, 398.9113059
1779415787.766435, 398.91130746
1779415787.8318415, 398.91130728
1779415787.8318415, 398.91130728
1779415787.8967595, 398.9113083
1779415787.961232, 398.91130752
1779415787.961232, 398.91130752
1779415788.0333376, 398.91130673
1779415788.0978303, 398.91130597
1779415788.1589248, 398.91130914
1779415788.1589248, 398.91130914
1779415788.2236922, 398.91130826
1779415788.2881494, 398.9113073
1779415788.351731, 398.91130683
1779415788.351731, 398.91130683
1779415788.4169745, 398.91130841
1779415788.4791362, 398.91130846
1779415788.5454917, 398.91130704
1779415788.5454917, 398.91130704
1779415788.6084876, 398.91130631
1779415788.6713471, 398.91130811
1779415788.6713471, 398.91130811
1779415788.735623, 398.91130738
1779415788.7992878, 398.91130514
1779415788.8646142, 398.91130551
1779415788.8646142, 398.91130551
1779415788.9287136, 398.91130703
1779415788.9925177, 398.91130637
1779415789.0555265, 398.9113042
1779415789.0555265, 398.9113042
1779415789.1199923, 398.91130576
1779415789.1838303, 398.91130656
1779415789.1838303, 398.91130656
1779415789.2478175, 398.91130563
1779415789.3116837, 398.91130385
1779415789.3756702, 398.91130599
1779415789.3756702, 398.91130599
1779415789.4417758, 398.91130595
1779415789.5047753, 398.91130392
1779415789.5675268, 398.91130387
1779415789.5675268, 398.91130387
1779415789.6315339, 398.91130532
1779415789.6958528, 398.91130487
1779415789.7597976, 398.9113032
1779415789.7597976, 398.9113032
1779415789.823935, 398.91130344
1779415789.8878174, 398.9113049
1779415789.8878174, 398.9113049
1779415789.951635, 398.91130414
1779415790.0158303, 398.91130228
1779415790.0794666, 398.91130207
1779415790.0794666, 398.91130207
1779415790.1436923, 398.91130368
1779415790.2089164, 398.91130281
1779415790.2742093, 398.91130141
1779415790.2742093, 398.91130141
1779415790.3355272, 398.91130196
1779415790.399835, 398.91130365
1779415790.399835, 398.91130365
1779415790.4672768, 398.91130302
1779415790.5278075, 398.91130017
1779415790.5930693, 398.9113004
1779415790.5930693, 398.9113004
1779415790.655845, 398.9113025
1779415790.7201374, 398.91130138
1779415790.7851813, 398.91129985
1779415790.7851813, 398.91129985
1779415790.8471394, 398.91130011
1779415790.9121442, 398.91130113
1779415790.9776976, 398.91130071
1779415790.9776976, 398.91130071
1779415791.0422814, 398.91129834
1779415791.1034043, 398.91129808
1779415791.1691434, 398.91130032
1779415791.1691434, 398.91130032
1779415791.231312, 398.91129769
1779415791.2965631, 398.91129629
1779415791.2965631, 398.91129629
1779415791.3623567, 398.91129707
1779415791.4238183, 398.9112979
1779415791.4894414, 398.9112971
1779415791.4894414, 398.9112971
1779415791.5512617, 398.91129494
1779415791.6159027, 398.9112959
1779415791.6796038, 398.9112986
1779415791.6796038, 398.9112986
1779415791.7455513, 398.91129578
1779415791.8076763, 398.91129535
1779415791.871732, 398.91129676
1779415791.871732, 398.91129676
1779415791.935776, 398.91129656
1779415792.0006802, 398.91129442
1779415792.0006802, 398.91129442
1779415792.0657802, 398.91129368
1779415792.1282237, 398.91129454
1779415792.19284, 398.91129483
1779415792.19284, 398.91129483
1779415792.2568412, 398.9112932
1779415792.3217354, 398.91129364
1779415792.3847277, 398.91129523
1779415792.3847277, 398.91129523
1779415792.448021, 398.91129399
1779415792.5118198, 398.91129337
1779415792.5118198, 398.91129337
1779415792.5777564, 398.9112929
1779415792.6417398, 398.9112946
1779415792.7068617, 398.91129383
1779415792.7068617, 398.91129383
1779415792.7678502, 398.91129226
1779415792.8340101, 398.91129296
1779415792.8969576, 398.91129368
1779415792.8969576, 398.91129368
1779415792.959342, 398.91129264
1779415793.0259702, 398.91129198
1779415793.0899026, 398.91129268
1779415793.0899026, 398.91129268
1779415793.1515872, 398.9112931
1779415793.217008, 398.91129243
1779415793.2798057, 398.91129175
1779415793.2798057, 398.91129175
1779415793.3470933, 398.91129234
1779415793.410121, 398.91129312
1779415793.410121, 398.91129312
1779415793.471472, 398.91129118
1779415793.538118, 398.91129041
1779415793.6011782, 398.9112917
1779415793.6011782, 398.9112917
1779415793.664295, 398.91129179
1779415793.7303433, 398.91129
1779415793.7913556, 398.91129025
1779415793.7913556, 398.91129025
1779415793.8553338, 398.91129239
1779415793.9212956, 398.91129112
1779415793.9212956, 398.91129112
1779415793.983155, 398.91128948
1779415794.0483267, 398.91128997
1779415794.1145005, 398.91129066
1779415794.1145005, 398.91129066
1779415794.17674, 398.91129105
1779415794.2393694, 398.91128814
1779415794.3048935, 398.91128774
1779415794.3048935, 398.91128774
1779415794.3696735, 398.91129081
1779415794.4316146, 398.91128982
1779415794.4964612, 398.91128788
1779415794.4964612, 398.91128788
1779415794.5615551, 398.91128757
1779415794.6239808, 398.91129014
1779415794.6239808, 398.91129014
1779415794.6917512, 398.91128885
1779415794.761624, 398.91128737
1779415794.8238149, 398.91128535
1779415794.8238149, 398.91128535
1779415794.888643, 398.91128567
1779415794.9538019, 398.91128776
1779415795.015722, 398.91128528
1779415795.015722, 398.91128528
1779415795.080671, 398.91128471
1779415795.1457617, 398.91128555
1779415795.1457617, 398.91128555
1779415795.2079172, 398.91128632
1779415795.272797, 398.91128503
1779415795.336292, 398.91128322
1779415795.336292, 398.91128322
1779415795.4018233, 398.91128551
1779415795.4640653, 398.91128582
1779415795.5278454, 398.91128382
1779415795.5278454, 398.91128382
1779415795.5942278, 398.91128466
1779415795.6569247, 398.91128548
1779415795.6569247, 398.91128548
1779415795.7193851, 398.91128472
1779415795.7859817, 398.91128429
1779415795.7859817, 398.91128429
1779415795.8570342, 398.91128345
1779415795.9219522, 398.91128445
1779415795.9850318, 398.91128606
1779415795.9850318, 398.91128606
1779415796.0491586, 398.91128516
1779415796.113041, 398.91128367
1779415796.176574, 398.91128539
1779415796.176574, 398.91128539
1779415796.2397919, 398.91128466
1779415796.3040502, 398.91128318
1779415796.3680532, 398.91128166
1779415796.3680532, 398.91128166
1779415796.4326649, 398.91128228
1779415796.4972472, 398.91128244
1779415796.4972472, 398.91128244
1779415796.5632775, 398.91128108
1779415796.623678, 398.91127935
1779415796.6883404, 398.91128205
1779415796.6883404, 398.91128205
1779415796.7532783, 398.91128037
1779415796.816407, 398.91127817
1779415796.879847, 398.91127942
1779415796.879847, 398.91127942
1779415796.9473112, 398.91127986
1779415797.0073373, 398.91127878
1779415797.0744188, 398.91127885
1779415797.0744188, 398.91127885
1779415797.13656, 398.91128051
1779415797.2014158, 398.91128013
1779415797.2634408, 398.91127967
1779415797.2634408, 398.91127967
1779415797.3286881, 398.91127847
1779415797.392191, 398.91127972
1779415797.392191, 398.91127972
1779415797.4563093, 398.91128023
1779415797.5216918, 398.91127986
1779415797.584694, 398.91127858
1779415797.584694, 398.91127858
1779415797.6474557, 398.91127894
1779415797.712621, 398.91128014
1779415797.777576, 398.91127926
1779415797.777576, 398.91127926
1779415797.8396947, 398.91127712
1779415797.9048383, 398.91127893
1779415797.9048383, 398.91127893
1779415797.9675958, 398.9112792
1779415798.0327055, 398.911278
1779415798.0958447, 398.91127661
1779415798.0958447, 398.91127661
1779415798.1608832, 398.91127722
1779415798.2240858, 398.91127893
1779415798.2890117, 398.91127635
1779415798.2890117, 398.91127635
1779415798.352034, 398.9112756
1779415798.4164197, 398.91127691
1779415798.4164197, 398.91127691
1779415798.481958, 398.91127743
1779415798.5437691, 398.91127578
1779415798.6080732, 398.91127464
1779415798.6080732, 398.91127464
1779415798.6729202, 398.91127726
1779415798.7355998, 398.91127731
1779415798.8000355, 398.91127525
1779415798.8000355, 398.91127525
1779415798.866126, 398.91127437
1779415798.9300063, 398.91127645
1779415798.991458, 398.91127602
1779415798.991458, 398.91127602
1779415799.056156, 398.91127393
1779415799.1200671, 398.91127431
1779415799.1200671, 398.91127431
1779415799.1862545, 398.91127559
1779415799.2492356, 398.91127505
1779415799.312732, 398.91127275
1779415799.312732, 398.91127275
1779415799.3781326, 398.91127414
1779415799.4406679, 398.91127507
1779415799.5053115, 398.91127378
1779415799.5053115, 398.91127378
1779415799.5681334, 398.91127307
1779415799.6322658, 398.91127384
1779415799.6984012, 398.91127314
1779415799.6984012, 398.91127314
1779415799.7623293, 398.91127332
1779415799.825426, 398.91127151
1779415799.887919, 398.9112729
1779415799.887919, 398.9112729
1779415799.951887, 398.91127337
1779415800.0160446, 398.91127225
1779415800.0160446, 398.91127225
1779415800.0816638, 398.91127038
1779415800.1439202, 398.91127346
1779415800.2088053, 398.91127354
1779415800.2088053, 398.91127354
1779415800.2721853, 398.91126871
1779415800.3376837, 398.91126846
1779415800.3997908, 398.91127138
1779415800.3997908, 398.91127138
1779415800.463518, 398.91127075
1779415800.5274904, 398.91126886
1779415800.5274904, 398.91126886
