7.515269432034391457e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.515269435034391563e+02 3.627132460000000000e+08 1.000000000000000000e+00 3.627132460000000000e+08
7.515269438034391669e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.515269441034391775e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.515269444034391881e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.515269447034391987e+02 3.576824520000000000e+08 1.000000000000000000e+00 3.576824520000000000e+08
7.515269450034392094e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.515269453034392200e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.515269456034392306e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.515269459034392412e+02 3.230453490000000000e+08 1.000000000000000000e+00 3.230453490000000000e+08
7.515269462034392518e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
7.515269465034392624e+02 1.006647783000000000e+09 3.000000000000000000e+00 3.355492610000000000e+08
7.515269468034392730e+02 1.664749213000000000e+09 5.000000000000000000e+00 3.329498426000000238e+08
7.515269471034392836e+02 6.167147640000000000e+08 2.000000000000000000e+00 3.083573820000000000e+08
7.515269474034392942e+02 9.409898620000000000e+08 3.000000000000000000e+00 3.136632873333333135e+08
7.515269477034393049e+02 3.253480989000000000e+09 1.000000000000000000e+01 3.253480988999999762e+08
7.515269480034393155e+02 2.265682773000000000e+09 7.000000000000000000e+00 3.236689675714285970e+08
7.515269483034393261e+02 2.781925385000000000e+09 9.000000000000000000e+00 3.091028205555555820e+08
7.515269486034393367e+02 3.813706189000000000e+09 1.200000000000000000e+01 3.178088490833333135e+08
7.515269489034393473e+02 5.461118853000000000e+09 1.700000000000000000e+01 3.212422854705882072e+08
7.515269492034393579e+02 2.316254767000000000e+09 7.000000000000000000e+00 3.308935381428571343e+08
7.515269495034393685e+02 6.068225099000000000e+09 1.900000000000000000e+01 3.193802683684210777e+08
7.515269498034393791e+02 7.345200910000000000e+09 2.300000000000000000e+01 3.193565613043478131e+08
7.515269501034393897e+02 9.707812537000000000e+09 3.100000000000000000e+01 3.131552431290322542e+08
7.515269504034394004e+02 1.021706249200000000e+10 3.200000000000000000e+01 3.192832028750000000e+08
7.515269507034394110e+02 1.267985007200000000e+10 4.000000000000000000e+01 3.169962518000000119e+08
7.515269510034394216e+02 1.398317183200000000e+10 4.400000000000000000e+01 3.177993598181818128e+08
7.515269513034394322e+02 1.066931703900000000e+10 3.400000000000000000e+01 3.138034423235294223e+08
7.515269516034394428e+02 1.431758762900000000e+10 4.500000000000000000e+01 3.181686139777777791e+08
7.515269519034394534e+02 1.504834770300000000e+10 4.700000000000000000e+01 3.201776107021276355e+08
7.515269522034394640e+02 2.146381023700000000e+10 6.800000000000000000e+01 3.156442681911764741e+08
7.515269525034394746e+02 1.621389436400000000e+10 5.100000000000000000e+01 3.179194973333333135e+08
7.515269528034394853e+02 1.293071057300000000e+10 4.000000000000000000e+01 3.232677643249999881e+08
7.515269531034394959e+02 2.144383533400000000e+10 6.700000000000000000e+01 3.200572437910447717e+08
