1778803905.9393625, 751.5269482767276, 67807195
1778803906.0711265, 751.5269629338264, 67820976
1778803906.2265494, 751.5269504809442, 67887852
1778803906.3561494, 751.5269607484493, 67792951
1778803906.479303, 751.5269515359539, 67823197
1778803906.6020086, 751.5269481071724, 67829575
1778803906.725171, 751.5269591847741, 67851602
1778803906.8521206, 751.5269497085264, 67838571
1778803906.9876244, 751.5269493694162, 67861431
1778803907.1087954, 751.5269474477915, 67815438
1778803907.23444, 751.5269489549481, 67854969
1778803907.3517764, 751.5269566414472, 67844192
1778803907.4736202, 751.5269541923176, 67842361
1778803907.5980349, 751.5269536648127, 67812016
1778803907.72656, 751.5269497650448, 67820270
1778803907.8505557, 751.5269532315052, 67811209
1778803907.9786355, 751.5269555864376, 67873446
1778803908.1035302, 751.5269482767276, 67846674
1778803908.2211635, 751.5269584311959, 67836355
1778803908.3443112, 751.5269575645807, 67831481
1778803908.4680705, 751.5269456768823, 67847493
1778803908.589259, 751.5269524967664, 67850576
1778803908.7179942, 751.5269596369212, 67793871
1778803908.8423338, 751.5269538720468, 67897774
1778803908.9687092, 751.5269504244259, 67891900
1778803909.090328, 751.5269523648901, 67893373
1778803909.210392, 751.5269602586234, 67898591
1778803909.3308463, 751.5269586572693, 67859919
1778803909.451969, 751.5269543807123, 67855763
1778803909.5777795, 751.526958600751, 67902481
1778803909.7092674, 751.526952854716, 67853222
1778803909.8293016, 751.5269558878688, 67834710
1778803909.9545114, 751.5269580732461, 67858028
1778803910.0839505, 751.5269562081396, 67900417
1778803910.205626, 751.5269658539428, 67835454
1778803910.3279593, 751.5269598629947, 67885048
1778803910.449794, 751.5269552473272, 67859168
1778803910.5713985, 751.5269683407513, 67854865
1778803910.6919603, 751.5269707145233, 67922923
1778803910.822134, 751.5269601644261, 67917480
1778803910.9409535, 751.5269687928984, 67939078
1778803911.064805, 751.5269684349486, 67884437
1778803911.1901255, 751.5269534575787, 67905393
1778803911.3181758, 751.5269651192037, 67873411
1778803911.439153, 751.5269472782363, 67892221
1778803911.5697048, 751.5269738795524, 67844438
1778803911.70692, 751.5269514417566, 67867994
1778803911.8307257, 751.5269721463221, 67875700
1778803911.95733, 751.5269527228398, 67918940
1778803912.0833955, 751.5269672103838, 67900268
1778803912.2050664, 751.5269516678302, 67909466
1778803912.3244574, 751.5269625381978, 67888237
1778803912.443559, 751.5269564907315, 67889310
1778803912.565385, 751.52696803932, 67887176
1778803912.687603, 751.5269614455092, 67873627
1778803912.8115437, 751.5269696406741, 67939164
1778803912.9332497, 751.5269623309639, 67860840
1778803913.0580525, 751.5269566791262, 67949093
1778803913.180017, 751.5269694522794, 67953307
1778803913.3045921, 751.5269731636529, 67954049
1778803913.4320495, 751.5269535706155, 67931055
1778803913.5550592, 751.5269712608676, 67878505
1778803913.6862218, 751.5269550589327, 67923454
1778803913.8148983, 751.5269724100746, 67950517
1778803913.9433763, 751.5269553038456, 67911271
1778803914.0667977, 751.5269637250838, 67893542
1778803914.190367, 751.5269644598227, 67920579
1778803914.3178496, 751.5269562834976, 67924026
1778803914.4414592, 751.5269668712735, 67941283
1778803914.5617542, 751.5269612571147, 67901379
1778803914.6912155, 751.5269588833428, 67943477
1778803914.8145242, 751.5269517243485, 67906186
1778803914.938237, 751.5269624628401, 67911146
1778803915.0578291, 751.5269619164958, 67904768
1778803915.1781244, 751.5269603339812, 67913535
1778803915.3036606, 751.5269581297645, 67951030
1778803915.4299917, 751.5269615773855, 67898477
1778803915.550012, 751.5269576776175, 67880374
1778803915.6652334, 751.5269562269791, 67918465
1778803915.7884064, 751.5269654771535, 67912374
1778803915.907714, 751.5269548328591, 67907661
1778803916.0309145, 751.526948823072, 67897339
1778803916.1544843, 751.5269617846195, 67923753
1778803916.2778244, 751.5269528735555, 67899612
1778803916.4013386, 751.5269553226851, 67920993
1778803916.5211754, 751.5269607296099, 67927153
1778803916.643111, 751.5269585065537, 67889350
1778803916.761915, 751.526952647482, 67922523
1778803916.88182, 751.5269666075211, 67944575
1778803917.0063493, 751.5269610122017, 67951321
1778803917.1305635, 751.5269539474046, 67935912
1778803917.250551, 751.5269615208671, 67936170
1778803917.3685105, 751.5269608238071, 67905559
1778803917.4910052, 751.5269627642714, 67941041
1778803917.6144466, 751.5269601455866, 67963238
1778803917.741177, 751.5269602586234, 68010364
1778803917.8807256, 751.5269620295325, 67972928
1778803917.9794827, 751.5269573008283, 68003459
1778803918.104467, 751.5269656655481, 67964795
1778803918.2322803, 751.5269612005962, 67990975
1778803918.3623612, 751.5269610122017, 68002647
1778803918.484491, 751.5269585442326, 67961296
1778803918.608445, 751.526959052898, 67999752
1778803918.7268527, 751.5269671350259, 67970742
1778803918.84954, 751.5269616904221, 67949665
1778803918.9709353, 751.5269593543293, 67992073
1778803919.0940385, 751.5269672292231, 67966438
1778803919.2143729, 751.5269692638848, 67987964
1778803919.332005, 751.5269586949482, 68007727
1778803919.4569175, 751.5269635932076, 67970395
1778803919.5774672, 751.5269621802481, 67945004
1778803919.7033305, 751.5269555110797, 68004641
1778803919.8212373, 751.5269660800162, 67976652
1778803919.9481757, 751.5269602963023, 67964720
1778803920.0791574, 751.5269679828016, 67979064
1778803920.2060318, 751.5269620672115, 68034880
1778803920.3291292, 751.5269596180817, 67990953
1778803920.4489775, 751.5269605035363, 67986165
1778803920.5743933, 751.5269518185459, 67938540
1778803920.6935604, 751.5269539850835, 67981549
1778803920.819357, 751.5269712420281, 67970539
1778803920.9310353, 751.5269709594362, 67969041
1778803921.0399797, 751.5269623309639, 68029582
1778803921.1662838, 751.5269611629174, 68002066
1778803921.2935555, 751.5269587514666, 67972545
1778803921.418379, 751.5269672292231, 68019093
1778803921.542557, 751.5269504809442, 67978696
1778803921.6617684, 751.5269666640395, 67986524
1778803921.7895079, 751.5269545691067, 67965075
1778803921.9111009, 751.5269556429558, 67995646
1778803922.0328119, 751.5269621614087, 67976180
1778803922.1563175, 751.5269504432654, 67973200
1778803922.273056, 751.5269635178497, 67946413
1778803922.397852, 751.5269598253158, 68017007
